,sentence,gender
5192,I am sure they have been so to me this winter.,f
5193,"I had my man woddull at newmarket this weak, and it was sum trubble to my mind that he shuld com so neere and not waite of yo=r= ladyship; but his bisn's was not mine, but my lady holland's, for she borrod him to go to cambrey upon the report that the prins elector wod not go there.",f
5194,"Mam i humbly thanck you for yo=r= good news of my husband and his bairns, and for yo=r= love and favor to us all, which i beseech god to rewarde you for us all with his saving grace; and i beleave, that yf my husband had staide lounger with yo=r= la=p=, which i shud a bene glad of, he wod a bene cleane well: but i heare he means to be hear satterday, therefore i will not write to him.",f
5195,"Mam, i have not seene mr morse, but i did much feare that he wod be so neare coming up when my husband came down, that there wod be nothing now don in his bisnes: and mr morse tould me that yo=r= la=p= might have assuranse and the remainder settled there as well as here, which i was very glad of; for i know yo=r= la=p= cannot com here but with much trubble and charge, and we had nede be as sparing of that as we can in smal matters, sins nesessity fors's us to crave yo=r= assistans in so great a proportion; for trewly, mam, if you do not helpe, i much feare all will be worthless.",f
5196,"But trewly, mam, my husband is very good; but, if he put his estat into a stranger's hand, i will never looke to see any part of it againe: but for yo=r= favor to me in desiring to keep my joynture free, i cannot saye inuff, but i will laye it up in a thankful harte with yo=r= many other kindness's.",f
5197,"But i hope my husband will be willing to give yo=r= la=p= any assuranse that you pleas, and trewly, mam, the more ty you have upon him and his estate the gladder i will be, for i veryly beleve it will be  for him; and i pray god give us all a happy meeting.",f
5198,"But when i think how troublesome i have been, and how unplesing company i must yet be to every body, i recal my wishes, and hope that god will give me that hapin's when i will be more capable of it then now i could, being so often ill: but, mam, if i do think of any thing that my stomach will sarve me to eat, i will make such use of your kind favour, for which i humbly thank you=r= la=p=, that you will be sure to hear of me.",f
5199,My sister jarvess and her husband wear with me this day; they both present ther sarvis to yo=r= la=p=.,f
5200,"Gordon, the oulde blade, presents his humble sarvis and thanks for the chees; and says yo=r= la=p's= kindness is much more to him then the chees, and that one of th's days he will present you with an eppissell.",f
5201,"My lord carlell is hugely amended after his fissick, and, they say now, will not dy at this time.",f
5202,Sum says hear that the tresurer's stafe will be carred by a paire of lawn slevess.,f
5203,I have given my cosen randolph yo=r= la=p's= letters.,f
5204,"I humbly kiss your hands, as    yo=r= la=p's= most affectionate daughter,     eliza cornwalleis.",f
5205,"Pray, mam, be pleased to bl's and bus the babs for me.",f
5206,"Man thomas stafford presents his sarvis: he is pitteously in love, and som tim's he's in hope and som tim's in despare, and what will be his inde i know not.",f
5207,"The prins of the temple, they say, has sent to offer his sarvis to my cosen semer, and they say she has refused him; but they say that by ester, or before, we will have two of our french women married to inglishmen, crittian to s=r= thom=s= shelly's son, and cattoe to mr arp.",f
5208,"The quene went this day to wallingforde, but in her chaire.",f
5209,"S=t= james's, on thursday the 4 of february 1635-6.",f
5210,"my deere mother,    i am extreame sorry that this occation is hapened, which mak's me sende this messenger to kisse your hands and to tell you all that i believe man arthur capell is uncapable either to serve your la=p= or his nephew by reason of an unfortunate occurrence which has happened to him lately, which was the killing of man john jenithrop in a duel, which although it wear fairly and with a great deal of pressing, so that he is not in danger for his life, yet by it, till after his trial, he is uncapable to follow any sute in law, and he himself is much disordered by it; the more because the gentillman that he killed and he had been a long time very good friends.",m
5211,The particular relation i leave to my wife's man.,m
5212,"Now, mam, i have nothing more to say, not being able to advise, only to expect yo=r= la=p's= commands, which will be obeied by, mam,     yo=r= affectionate and obedient sonne,    f.",m
5213,Cornwalleis.,m
5214,"S=t= james's, may 4, 1636.",m
5215,"deare sister,    although i haue wriet diuers letters vnto y=o=, of w=ch= as yet i haue not receiued any answare of them, yet such is my affection to y=o=, y=t= i can omit noe vpportunity to doe y=o= serui's.",f
5216,"M=r= meautys is in y=e= feeld before y=e= conac, y=t= y=e= inime has taken this summer agin from vs. I haue not seene him this halfe yeare, and i feere a winter campayn will detaine him y=e= longer from mee, in y=t= he has y=e= command ouer those compani's y=t= li's there.",f
5217,"Y=e= queene of bohemia is now in y=e= hage; she was pleased to doe me y=t= honor to be godmother to my child, y=e= w=ch= i was ignorrant of vntill y=e= queene's retorne from rine.",f
5218,"I told her m=tie= y=t= y=o= was y=e= other godmother, y=e= w=ch= shee was very well pleased to vnderstand; her ma=tie= telling of mee y=t= shee did know y=o= to bee a lady y=t= was indued w=th= a great dell of honour and virtue, & y=t= in her knowledg y=o= did loue yo=r= brother very well, w=ch= was a thing most commandible in y=o=: indeede, sister, her ma=tie= do use you w=th= much fauor, and has promised me y=t= what soeuer do ly in her power to doe mee good shee will not faile to perform it: shee was pleased to giue vnto my littell jane a okay present, w=ch= mr meautys did send mee from arnheim.",f
5219,"Deare sister, in my other letters i did desier y=o= to send vs ouer y=e= monie; w=ch=, if y=o= please, should bee very wellcome vnto vs. Thus, wishing much happiness vnto y=o= and y=ors=,    i remaine redy to doe y=o= seruize in all true affection to my ind,    anna meautys.",f
5220,"Deft, y=e= 9=th= of june 1636.",f
5221,"Deare sister, if y=o= please, send mee word how my hercul's do, to whome i send my blessing.",f
5222,"To the lady bacon, at culford.",f
5223,"deere mother,    i hope you have by this time recovered the werin's of your jurney, and given our babs leave to come to you all.",f
5224,"My lady nuport's daughters' was not the plague, thanks be to god! truly, mam, i did much feare your being very wery of so long and solitary a jurny; and my husband said that he was sorry he was putt to ask to stay, for that case stai's him still in town, as he says to me, for i have not as yet seen him sins that day that you wente out of towne; but he on sunday sent mr tom howard to me, that i would be reddy to goe, into the beginning of the nexte weeke.",f
